ID,RequirementText,Functional (F),Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),AI_Model,AI_Confidence,AI_Rationale
3152,It MUST be clarified whether tendering platforms enable a separated submission of a VCD and the bid itself.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.8,"The statement asks whether the platform provides the capability to submit a VCD separately from the bid—this concerns system functionality/capability. It does not specify availability, security, usability, or other quality attributes."
3153,The PEPPOL infrastructure MUST have the capability to submit a VCD to a contracting authority or tendering platform.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a capability (submit a VCD) — a functional behavior. It does not mention availability, security, performance, portability, or other quality attributes."
3154,The PEPPOL infrastructure SHOULD have the capability to submit a bid which contains a VCD.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"This requirement specifies a capability the system should provide — submitting a bid containing a VCD — which is a functional behavior. It does not mention availability, performance, security, UI, or other quality attributes."
3155,It MUST be possible to guarantee confidentiality for specific documents.,0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,"The requirement explicitly mandates guaranteeing confidentiality for specific documents, which is a security property (confidentiality/access control). It does not mention functionality, availability, legal compliance, performance, maintainability, usability, or other quality attributes."
3156,It MUST be possible to apply the validation service provided by WP1 to a VCD in order to enable economic operators to guarantee data integrity and confidentiality of a VCD.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,"The requirement states a capability must exist to apply a validation service to a VCD (functional). It explicitly aims to guarantee data integrity and confidentiality, which are security concerns, so SE is set. No other quality attributes (availability, scalability, maintainability, etc.) are mentioned."
3157,It MUST be clarified whether the VCD can use the validation service of WP1 if the transportation infrastructure is not used by an economic operator,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.78,The statement requests clarification about whether VCD may use a validation service under a specific condition (use by an economic operator). This pertains to policy/eligibility/legal constraints rather than specifying functional behavior or other quality attributes.
3158,"It MUST be assured that business document instances are consistent and correct during transportation, validation or transformation operations.",0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.74,"The requirement focuses on ensuring document consistency and correctness (integrity) during transport, validation, or transformation—this maps to security concerns (data integrity). It does not explicitly state availability, fault-tolerance, functionality, performance, or other quality attributes, so only Security is marked."
3159,Authentication of origin for business document instances MUST be supported.,0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,"Requirement specifies supporting authentication of origin for business documents, which is a security concern (authenticity/provenance). It does not mention availability, performance, UI, legal, or other non-functional aspects."
3160,Time stamping SHOULD be applied in some processes to certify relevant date and time.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.82,"The requirement mandates applying time stamping in processes (a functional behavior) and implies security properties (certifying date/time, supporting integrity/non-repudiation). It does not explicitly address availability, performance, legal compliance, or other NFR categories."
3161,The compilation suggestion that is given to the economic operator by the VCD system MUST be reliable with regard to fulfilment of tender-specific requirements.,0,0,1,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.55,"The requirement specifies that the system's compilation suggestion must be reliable (dependable/correct) with regard to fulfilling tender-specific requirements. This is a non-functional quality about dependability/resilience of output rather than uptime, security, or usability. Of the available labels, fault-tolerance/dependability is the closest match. No explicit functional behavior, legal, performance, or other qualities are stated."
3162,Regulations for handling the non-existence of selected evidence requested in a MS MUST be defined and made operational.,0,0,1,0,0,0,1,0,0,0,0,0,gpt-5-mini,0.78,"The requirement mandates defining and operationalizing procedures for handling cases when requested evidence is missing. This implies fault-tolerance/resilience (handling failures or missing inputs) and relates to operability/administration (making processes operational). It does not specify functional behavior, performance, security, legal compliance, or UI concerns."
3163,The electronic procurement framework MUST support organizations of any size and industry.,0,0,0,0,0,0,0,0,1,1,0,0,gpt-5-mini,0.83,"Requirement specifies support for organizations of any size and industry—implies portability/adaptability across environments (PO) and capacity to scale to different sizes (SC). No explicit availability, performance, security, usability, legal, or other NFRs mentioned."
3164,Special legal regulations for evidences MUST be considered (e.g. for extract from the register of conviction).,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies compliance with legal regulations regarding evidence (e.g., extracts from conviction register). This is a legal/regulatory requirement, not functional or other quality attributes."
3165,A suitable way to establish the relevant regulations for the National Service Provider MUST be defined (e.g. special legal regulations concerning VCD service provision).,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies defining relevant legal regulations for the National Service Provider (examples cite special legal regulations). This is a legal/compliance requirement; no explicit availability, performance, security, usability, or other quality attributes are mentioned."
3166,Evidential documents exchanged between parties MUST be semantically harmonized in order to be processed electronically.,0,0,0,0,0,0,1,0,1,0,0,0,gpt-5-mini,0.73,"Requirement mandates semantic harmonization of exchanged documents to enable electronic processing — this is an interoperability/compatibility constraint (portability) and pertains to the system's ability to operate/process exchanged data (operability). It does not specify security, performance, scalability, legal, UI, or maintainability aspects."
3167,The electronic procurement process MUST have an audit trailing to ensure transparency for both parties.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,"Specifies that the system must provide an audit trail (a specific functional capability) to ensure transparency/accountability, which relates to security (auditability/non-repudiation). No other quality attributes are implied."
3168,National criteria for qualitative selection and exclusion MUST correspond to European criteria which are derived from Article 45-50 and which are partially described in the Eligibility of Tenders.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"This requirement specifies compliance with European legal criteria (Article 45-50 / Eligibility of Tenders), which is a regulatory/legal constraint rather than a functional behavior or other quality attribute."
3169,National criteria SHOULD be consistent among themselves and with European criteria.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.82,"The requirement mandates consistency with European criteria, which indicates standards/regulatory alignment (legal/compliance concern). It does not specify functional behavior, usability, performance, or other quality attributes explicitly."
3170,Any VCD instance MUST be specific with regards to a certain economic operator.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.87,"This statement specifies a required behavior/constraint of the system data model (each VCD instance must be specific to an economic operator), which is a functional requirement. It does not mention availability, security, performance, or other quality attributes."
3171,Any VCD instance SHOULD be specific with regards to a certain tender.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"This requirement specifies a functional constraint on VCD instances (they must be specific to a particular tender). It describes what the system/data should be, not a quality attribute like performance, security, or usability."
3172,"When implementing any tool, system or service WP2 MUST focus on mandatory requirements and evidences mentioned in Articles 45 and 46 first since theses Articles are not tender-specific and therewith relevant for nearly all tenders.",0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"The requirement mandates focusing on mandatory requirements and evidences from Articles 45 and 46, which indicates legal/compliance obligations applicable across tenders. It does not specify functional behavior or other quality attributes, so only Legal is set."
3173,The mapping between evidences via requirements MUST have set a primary focus on the mandatory requirements and evidences of a VCD.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.89,"The statement specifies a required behavior of the system/process (how mapping between evidences must prioritize mandatory requirements/evidences). It does not mention availability, legal, security, performance, usability, portability, scalability, maintainability, operability, fault tolerance, or look-and-feel."
3174,Articles 47 to 50 open a wide range of different criteria which are tender- and country-specific thus they MUST be added stepwise to the pre-VCD mapping tool (which may require a higher-level mapping).,1,0,0,0,0,1,0,0,0,0,0,0,gpt-5-mini,0.73,"This requirement specifies a capability of the pre-VCD mapping tool (that country- and tender-specific criteria from Articles 47–50 must be added stepwise and may require higher-level mapping) — a functional requirement. It also implies maintainability/modularity concerns (stepwise addition and higher-level mapping architecture) rather than availability, performance, security, etc."
3175,"Any VCD system SHOULD provide the opportunity to the economic operator to produce a complete VCD even if there are several issuing services that are not under control of a national service provider, do not have specific mapping to other documents defined in the pre-VCD mapping tool and have to be provided by the economic operator manually.",1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.87,"Requirement specifies a capability the VCD system should provide (allow an economic operator to manually include issuing services to produce a complete VCD). This is a functional behavior request; it does not specify availability, security, UI/look-and-feel, performance, scalability, portability, maintainability, or operability constraints."
3176,Any VCD system provides the functionality to add additional documents through placeholders.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.88,"Specifies a system capability (ability to add documents via placeholders), which is a functional requirement. No quality attributes like performance, security, usability, or legal constraints are mentioned."
3177,"Interfaces to submit evidence to the VCD system have to be defined along with common semantics in order to allow issuing bodies to further specify evidence with regard to structural data, context specific data and validation values.",1,0,0,0,0,0,0,0,1,0,0,0,gpt-5-mini,0.78,"The requirement specifies that interfaces and common semantics for submitting evidence must be defined — this describes system functionality (providing interfaces) and implies interoperability/compatibility across issuing bodies (portability). It does not mention availability, security, performance, scalability, legal, or UI/look-and-feel concerns."
3178,Develop a format that allows the presentation and displaying of the contents of a VCD package.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Requirement specifies developing a format to present/display contents of a VCD package, which describes a functional capability. No explicit non-functional aspects (performance, security, UI standards, portability, etc.) are stated."
3179,The scope of mutual recognition needs to be further clarified with regard to the provision of official scans.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.77,"The statement refers to 'scope of mutual recognition' and 'provision of official scans', which implies legal/regulatory clarification about recognition and acceptance of documents. It does not specify functional behavior, performance, security or other quality attributes."
3180,The scope of mutual recognition needs to be further clarified with regard to the role of candidate statements.,1,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.61,"The sentence requests clarification of the scope and role of 'mutual recognition' and 'candidate statements', which pertains to defining system behavior/requirements (functional). The term 'mutual recognition' implies regulatory or legal meaning, so a legal label is also applicable. No explicit mentions of security, performance, availability, usability, portability, scalability, operability, fault tolerance or maintainability."
3181,It has to be defined which method and concept should be applied if there are missing attestations.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.82,"The statement specifies that a method/concept must be defined for handling missing attestations — this describes required system behavior (how to handle a condition), so it is a functional requirement. It does not explicitly mention availability, security, performance, or other quality attributes."
3182,It has to be guaranteed whether the directive is correctly implemented in national procurement law with regard to VCD relevant articles 45-52.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Requirement concerns guaranteeing correct implementation of a directive in national procurement law (VCD articles 45-52), which is a legal/compliance requirement. It does not specify functional behavior or other quality attributes."
3183,The legal foundation for exchanging validation values SHOULD be given in the home Member States in order to support mutual recognition across Member States.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"The requirement explicitly refers to 'legal foundation' and 'home Member States' and 'mutual recognition', which are legal/compliance concerns. It does not specify functional behavior or other quality attributes."
3184,The legal status and legitimacy of the European Service Provider MUST be defined.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"The requirement explicitly mandates definition of the legal status and legitimacy of the European Service Provider, which is a legal/compliance constraint. It does not specify functional behavior or other quality attributes."
3185,"The responsibility of the European Service Provider MUST be defined (e.g. definitions, rule-set).",0,0,0,0,0,0,1,0,0,0,0,0,gpt-5-mini,0.7,"This requirement mandates that responsibilities and rule-sets for the European Service Provider be defined, which is an operational/administrative requirement about how the service is managed. It does not specify functional behavior, legal compliance, or other quality attributes explicitly."
3186,The liability of the European Service Provider MUST be defined.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"This requirement pertains to defining liability of the European Service Provider, which is a legal/contractual obligation. It does not specify functional behavior, availability, performance, security, or other non-functional aspects."
3187,The legal regulation applicable for the European Service Provider MUST be defined.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"Requirement explicitly mandates defining applicable legal regulation for the European Service Provider, which is a legal/compliance constraint."
3188,A suitable way to establish the relevant regulation for the European Service Provider MUST be defined.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"The requirement mandates defining how to establish applicable regulations for a European service provider, which is a legal/compliance requirement. It does not specify availability, performance, security, usability, or other quality attributes."
3189,The legal status and legitimacy of the National Service Provider MUST be defined.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.88,"The statement explicitly concerns the legal status and legitimacy of the National Service Provider, which is a legal/compliance requirement. It does not specify functional behavior or other quality attributes."
3190,"The responsibility and the related processes of the National Service Provider MUST be defined (e.g. mapping activity, compilation of VCD package).",0,0,0,0,0,1,1,0,0,0,0,0,gpt-5-mini,0.8,"This requirement mandates that responsibilities and related operational processes for the National Service Provider be defined (e.g., mapping activity, compilation of VCD package). That is primarily an operability/administration requirement (O). Defining processes also supports maintainability by clarifying how to manage and modify the system, so MN is set. It does not specify functional behavior, availability, security, UI, performance, portability, scalability, or legal constraints."
3191,The liability of the National Service Provider (depending on its legal status) MUST be defined.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,Requirement specifies legal definition of liability depending on legal status; this is a legal/compliance constraint rather than functional or other quality attributes.
3192,The legal regulation applicable for the National Service Provider MUST be defined.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.95,"This requirement explicitly mandates that the applicable legal regulation for the National Service Provider must be defined, which is a compliance/legal constraint. It does not specify functionality, performance, security, usability, or other quality attributes."
3193,"Regulations concerning monetary aspects of the VCD service provision MUST be defined, therefore related legal regulations (e.g. competition protection act) MUST be considered.",0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"The requirement explicitly mandates considering legal regulations for monetary aspects (e.g., competition protection act), which is a legal/compliance requirement. No other quality attributes are mentioned."
3194,Technical access to the relevant attestations issued by (national) issuing SHOULD be supported through national law.,0,0,0,1,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Requirement mandates support through national law for technical access to attestations, which is a legal/compliance constraint. It does not specify functional behavior, performance, security, or other quality attributes explicitly."
3195,"A VCD system MUST provide a user interface to the issuing body to provide context specific data for an evidence in a structured form (e.g. web-interface, XML-file-upload).",1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"The statement specifies a system capability (must provide a user interface and mechanisms like web-interface or XML upload) — this is a functional requirement. It does not specify UI aesthetics, usability, security, availability, or other quality attributes explicitly, so only Functional is set."
3196,The national VCD service provider that hosts the system must have the status of a trusted entity.,0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.92,"The requirement specifies that the hosting service must be a 'trusted entity', which pertains to trustworthiness, authentication/authorization and security assurance of the provider. It does not state functional behavior, availability, legal compliance details, or usability, so only Security is marked."
3197,The VCD package MUST provide a functionality to add structural data of evidence to the VCD package and VCD system (e.g. log file) during the compilation process.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a capability the system must provide (ability to add structural evidence data during compilation), which is a functional requirement. It does not state availability, performance, security, usability, or other quality constraints."
3198,The VCD package MUST provide a functionality to add evidences to the VCD package and VCD system (e.g. log file) during the compilation process.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"Requirement explicitly specifies a functionality (ability to add evidences/logs during compilation). It describes what the system must do, with no explicit non-functional constraints (availability, performance, security, etc.). Therefore only Functional is set."
3199,The VCD package MUST provide a functionality to add translations to the VCD package and VCD system (e.g. log file) during the compilation process.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"This requirement specifies a capability the system must provide (ability to add translations during compilation), which is a functional behavior. It does not explicitly state non-functional aspects such as availability, performance, security, usability, etc., so no other labels are set."
3200,The VCD system MUST provide a functionality to notify the economic operator when the compilation process is finished.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a system functionality (notify the economic operator when compilation finishes). It does not state availability, performance, security, usability, or other non-functional constraints."
3201,The VCD system MUST provide interfaces to deliver the VCD to the economic operator.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.83,"Requirement specifies a system capability: providing interfaces to deliver VCD to an economic operator — a functional behavior. No explicit non-functional qualities (performance, security, availability, etc.) are mentioned."
3202,"The VCD transportation system MUST provide a functionality that enables both parties involved, contracting authorities and economic operators, to authenticate to the VCD transportation system before using it.",1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,Requirement explicitly mandates the system provide an authentication functionality (a functional behavior) for contracting authorities and economic operators; this is also a security requirement (authentication relates to access control/confidentiality). No other quality attributes are mentioned.
3203,The authentication to the VCD transportation system SHOULD make use of single-sign-in interface and function in order to submit login data.,0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,"The requirement specifies the authentication mechanism (use of single-sign-in/SSO) which concerns identity/authentication—a security requirement. It does not state availability, performance, usability, or other quality attributes explicitly."
3204,The VCD transportation system MUST provide a functionality that enables the economic operator to find an electronic address of a contracting authority for receiving VCD packages.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a system function: providing functionality to locate an electronic address for a contracting authority. It describes what the system must do (functional behavior) and does not specify availability, performance, security, usability, or other non-functional constraints."
3205,The VCD transportation system MUST have an interface to connect to it in order to submit the VCD package to a contracting authority.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.77,"This requirement specifies a functional capability: providing an interface to connect and submit a VCD package. It does not state availability, security, performance, portability, or other quality attributes explicitly."
3206,The VCD transportation system MUST provide a functionality that supports the economic operator in submitting the VCD package to a contracting authority.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.85,"The statement describes a required system functionality (support submitting VCD package). It does not specify non-functional aspects like performance, security, availability, etc."
3207,The VCD transportation system SHOULD provide a functionality that supports the economic operator in submitting the VCD package to a contracting authoritiesâ€™ procurement platform where the tender/bid has to be placed.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"Specifies a system capability (support submitting VCD package to procurement platform) — a functional requirement. No explicit non-functional constraints (availability, security, performance, etc.) are stated."
3208,The transportation system MUST provide an interface that enables contracting authorities to receive a VCD.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.87,"Specifies a required system capability (providing an interface to deliver VCD to contracting authorities), which is a functional requirement. No quality constraints (performance, security, usability, etc.) are mentioned."
3209,The VCD package MUST provide a functionality to add economic operator data to the VCD package and VCD system (e.g. log file) during the compilation process.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"The requirement specifies a concrete capability the system must provide (adding economic operator data during compilation), which is a functional requirement. It does not explicitly state availability, performance, security, or other non-functional concerns."
3210,The VCD viewing system MUST provide a functionality to authenticate contracting authorities to view the data contained within a VCD package.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,"The requirement specifies a system functionality (authenticate contracting authorities) — making it functional. It explicitly concerns authentication/authorization, which is a security concern, so SE is also set. No other quality attributes are implied."
3211,The VCD viewing system MUST display structural VCD package data contained in the VCD package,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"The requirement specifies a system behavior—displaying structural VCD package data—which is a functional requirement. It does not mention availability, performance, UI style, security, or other quality attributes."
3212,The VCD viewing system MUST display tender-specific data contained in the VCD package,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.93,"This requirement specifies a functional behavior: the system must display tender-specific data from the VCD package. It does not mention availability, performance, security, UI style, or other non-functional aspects."
3213,The VCD viewing system MUST display economic operator data contained in the VCD package,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.88,"This requirement specifies a system behavior: the VCD viewer must display economic operator data from the VCD package. It is a functional requirement; it does not mention availability, performance, security, UI look-and-feel, or other non-functional aspects."
3214,The VCD viewing system MUST display structural data of evidence contained in the VCD package,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a system capability/function: displaying structural data of evidence in a VCD package. It describes what the system must do, with no explicit quality/constraint attributes (availability, performance, security, etc.)."
3215,The VCD viewing system MUST display evidences contained in the VCD package,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"This requirement specifies a system behavior—displaying evidences from a VCD package—which is a functional capability. It does not mention availability, performance, security, UI style, or other non-functional attributes."
3216,The VCD viewing system MUST display translations of evidences contained in the VCD package,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"This requirement specifies a concrete system behavior — displaying translations of evidences — which is a functional requirement. It does not state availability, performance, UI style, security, or other non-functional concerns."
3217,"A VCD system MUST provide functionality to collect and process context specific data for evidence that has to be provided manually or semi-automatically by the issuing body, by the economic operator or any trusted third party.",1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"This requirement specifies a system capability: providing functionality to collect and process context-specific data for evidence (manual or semi-automatic) from various parties. It describes what the system must do (functional), without mentioning availability, security, performance, etc."
3218,A VCD system MUST provide functionality to collect and process context specific data for evidence that has to be provided automatically by the issuing body.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.95,"The statement specifies required functionality (collect and process context-specific data automatically). It describes what the system must do, not availability, security, performance, or other quality attributes."
3219,A VCD system MUST provide IT-interfaces to issuing bodies which provide evidences in machine interpretable format.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.8,"Specifies that the system must provide IT-interfaces (APIs) delivering evidence in machine-interpretable format — a functional requirement about system behavior/interoperability. No explicit availability, security, portability, or other quality constraints mentioned."
3220,A VCD system MUST interact with the issuing bodies which provide evidences in machine interpretable format through IT-interfaces.,1,0,0,0,0,0,1,0,0,0,0,0,gpt-5-mini,0.78,"This is a functional requirement (system must interact with issuing bodies via IT interfaces). It also specifies an integration/operability constraint (use of machine-interpretable formats and IT interfaces), so Operability is applicable. No explicit availability, security, portability, performance, scalability, legal, UI, or maintainability aspects are stated."
3221,The VCD system MUST provide a functionality to validate the provided context specific data during the submission process of context specific data to ensure the data is consistent with the VCD advanced package schema.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.8,"The requirement explicitly mandates a functionality to validate submitted data against a schema (functional). The purpose is to ensure data consistency/integrity, which aligns with security-related data integrity concerns (SE). It does not specify availability, fault recovery mechanisms, performance, portability, usability, legal, or other quality attributes, so those are set to false."
3222,The authentication to the VCD viewing system SHOULD make use of single-sign-on interface and function in order to submit login data.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.86,"Requirement specifies the authentication method (use of single-sign-on) which is a functional behavior and primarily a security concern (auth/authz mechanism). No mention of availability, performance, usability, or other quality attributes."
3223,The VCD package MUST provide a functionality to add tender-specific data to the VCD package and VCD system (e.g. log file) during the compilation process.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"The requirement specifies a capability the system must provide (adding tender-specific data during compilation), which is a functional requirement. It does not specify availability, performance, security, or other quality attributes."
3224,The VCD package MUST provide a functionality to add structural VCD package data to the VCD package and VCD system (e.g. log file) during the compilation process.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"The statement specifies a required functionality (ability to add structural package data/log during compilation), which is a functional requirement. It does not explicitly address availability, performance, security, usability, or other non-functional qualities."
3225,The VCD system MUST provide a functionality to compile various data formats from various sources (issuing bodies) into a single VCD package.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a system capability (compile various data formats from various sources into a single VCD package), which is a functional behavior. It does not explicitly state availability, performance, security, portability, or other non-functional concerns."
3226,Direct access to attestations issued by (national) issuing bodies MUST be established through organisational agreements (e.g. service level agreements).,0,0,0,1,0,0,0,0,0,0,1,0,gpt-5-mini,0.8,"The requirement mandates that access to attestations be controlled via organisational agreements (e.g., SLAs). This implies legal/compliance constraints (L) and access control/governance concerns (security, SE). It does not specify functional behavior, performance, availability, or other qualities explicitly."
3227,Identity and access management MUST provide a functionality to register an economic operator in a formal procedure in order to create a VCD account.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"The requirement specifies a capability the system must provide—registration of an economic operator to create a VCD account—so it is a functional requirement. It does not explicitly state availability, security controls, usability, legal, or other quality attributes."
3228,Identity and access management MUST provide an interface to submit sensitive economic operator data (for example by uploading attestations that verify sensitive economic operator data) in order to allow the economic operator to apply for the creation of a VCD account.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.78,"This is a functional requirement specifying that IAM must provide an interface to submit (upload) sensitive operator data to apply for a VCD account. It does not explicitly state availability, security controls, usability, or other quality attributes."
3229,Sensitive economic operator data MUST be verified through a formal procedure by an officer.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.81,"The statement prescribes a required behavior (data must be verified by an officer via a formal procedure), so it's a functional requirement. Because it concerns verification of sensitive data, it implies a security-related control (integrity/authenticity), so Security is marked. It does not explicitly mention availability, fault tolerance, legal/regulatory compliance, usability, performance, scalability, portability, maintainability, or operability."
3230,An officer has to create a VCD account for the economic operator.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies a system action/feature: an officer must create a VCD account for an economic operator. This is a functional requirement; no availability, performance, security, or other quality constraints are mentioned."
3231,Sensitive economic operator data MUST be placed to a VCD account by an officer.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.8,"Specifies a required action (placing sensitive data into a VCD account) -> functional. Mentions ""sensitive"" data and that an officer must do it, implying access/control/authorization and confidentiality requirements -> security."
3232,Identity and access management MUST provide a functionality that enables the economic operator to receive his log-in data.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"Requirement specifies a capability (functionality) to deliver login data to an economic operator — this is a functional requirement. It does not explicitly state security, usability, availability or other quality constraints."
3233,The authentication within identity and access management SHOULD provide a single-sign on functionality that can be used across other systems.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.95,"The requirement specifies a concrete capability (single-sign on) for the authentication/IAM system — this is a functional requirement. Because it concerns authentication, it also strongly implies a security concern (SE). Other quality attributes (availability, scalability, portability, usability, etc.) are not explicitly required."
3234,A change procedure MUST be defined in order to modify sensitive economic operator data that is connected to the VCD account.,0,0,0,0,0,0,1,0,0,0,1,0,gpt-5-mini,0.8,"The requirement mandates a defined change procedure for modifying sensitive operator data, which is primarily a security control (access/change governance, auditability) and also an operational/admin process. It does not explicitly specify legal, performance, scalability, portability, maintainability, or UI concerns."
3235,The economic operator MUST be able to delete his account.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This is a functional requirement specifying that a user (economic operator) must be able to delete their account. No quality attributes (availability, security, usability, etc.) are explicitly mentioned."
3236,The VCD System SHOULD make use of a single-sign-on interface and function in order to submit login data.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.89,"Requirement specifies the system should use a single-sign-on interface to submit login data — this prescribes a security/authentication mechanism (SE). It also describes a system behavior (providing SSO functionality), so Functional (F) is marked. Other non-functional categories are not explicitly implied."
3237,The VCD system MUST provide a functionality to check through identity and access management whether an economic operator has sufficient user rights to access his account.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.9,"The requirement explicitly mandates a system functionality (functional) to check identity and access management for user rights, which is an access control/security concern (security). No other quality attributes such as availability, performance, scalability, or usability are implied."
3238,The VCD system MUST provide an interface where the economic operator can provide nonsensitive economic operator data.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a system capability to provide an interface for entering economic operator data — a clear functional behavior. It does not impose availability, security, performance, portability, usability, or other quality constraints explicitly (it even notes data are nonsensitive), so no other NFR labels are warranted."
3239,The VCD system MUST provide an interface where tender-specific data can be either fetched from or be provided through (e.g. criteria of qualitative selection and exclusion).,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"This requirement specifies that the system must provide an interface to fetch/provide tender-specific data, which is a functional capability. It does not specify availability, UI look-and-feel, usability, security, or other non-functional qualities."
